,Unnamed: 0,Area_Name,Area_ID,Park_Name,Park_ID,Squirrel_ID,Primary_Fur_Color,Highlights_in_Fur_Color,Color_Notes,Location,Above_Ground_(Height_in_Feet),Specific_Location,Activities,Interactions_with_Humans,Other_Notes_or_Observations,Squirrel_Latitude_(DD.DDDDDD),Squirrel_Longitude_(-DD.DDDDDD)
0,2,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-03,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.859416,-73.933894
1,4,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-05,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,She left food,40.859493,-73.93359
2,9,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-10,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.859636,-73.933717
3,10,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-11,Gray,Black,,Ground Plane,,,Eating,Indifferent,was intimidated by a dog,40.859576,-73.933738
4,22,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-11,Gray,Cinnamon,,Ground Plane,,,Eating,Runs From,,40.846271,-73.940579
5,27,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-16,Gray,Cinnamon,,"Above Ground, Specific Location",20,tree,Eating,Indifferent,,40.846417,-73.941115
6,34,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-23,Gray,Cinnamon,,"Above Ground, Specific Location",2,fence,Eating,Indifferent,,40.84719,-73.941308
7,37,UPPER MANHATTAN,A,Highbridge Park,3,A-03-02,Gray,White,,"Above Ground, Specific Location",2,in tree,Eating,Runs From,#1 and #2 chasing each other,40.841204,-73.935434
8,49,UPPER MANHATTAN,A,Highbridge Park,3,A-03-14,Gray,Cinnamon,,Ground Plane,,,Eating,"Runs From, watches us in short tree",Loud sparrows in tree,40.842327,-73.934269
9,51,UPPER MANHATTAN,A,Highbridge Park,3,A-03-16,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,,40.842769,-73.934478
10,54,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-03,Gray,White,,Ground Plane,,,Eating,Indifferent,Being chased by #2,40.817719,-73.948914
11,56,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-05,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.817569,-73.948931
12,74,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-08,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
13,75,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-09,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
14,76,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-10,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
15,77,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-11,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
16,78,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-12,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
17,79,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-13,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
18,80,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-14,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
19,83,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-17,Gray,Gray,,Ground Plane,,,Eating,Okay with people,,,
20,91,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-25,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
21,92,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-26,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
22,103,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-09,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804701,-73.944118
23,104,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-10,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804746,-73.94374
24,105,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-11,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804912,-73.94408
25,106,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-12,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804729,-73.944053
26,108,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-14,Gray,Gray,,Above Ground,15,,Eating,,Too far to observe human interactions,40.804613,-73.943829
27,109,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-15,Gray,Gray,,Above Ground,15,,Eating,,Too far to observe human interactions,40.804564,-73.943824
28,122,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-28,Gray,Gray,,Above Ground,3,,Eating,Indifferent,,40.80362,-73.944067
29,141,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-02,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,40.735847,-73.990115
30,146,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-07,Gray,Cinnamon,Cinnamon tail,"Above Ground, Specific Location",,in tree,Eating,,Baby smaller,40.735636,-73.990426
31,149,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-10,Gray,,,Ground Plane,,,Eating,"Indifferent, Staring",,40.73542,-73.990453
32,151,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-12,Gray,,,Ground Plane,,,Eating,,Big,40.735945,-73.990201
33,153,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-14,Gray,,,Ground Plane,,,Eating,,Big and chubby,40.73604,-73.98966
34,154,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-15,Gray,,,Ground Plane,,,Eating,,,40.73618,-73.990683
35,155,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-16,Cinnamon,,,Ground Plane,,,Eating,,,40.736298,-73.990559
36,161,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-06,Gray,Cinnamon,,Above Ground,15,,Eating,Indifferent,,40.733648,-73.984294
37,168,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-13,Gray,Cinnamon,,Above Ground,40,,Eating,,,40.733737,-73.984644
38,169,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-14,Black,Cinnamon,,Above Ground,10,,Eating,Approaches,,40.733932,-73.984612
39,170,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-15,Black,Cinnamon,,Above Ground,30,,Eating,,Far away,40.734014,-73.984461
40,172,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-17,Gray,Cinnamon,,"Above Ground, Specific Location",15,in tree,Eating,,,40.734083,-73.984322
41,194,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-14,Gray,,,"Above Ground, Specific Location",15,in tree,Eating,Indifferent,,,
42,291,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-01,Gray,Gray,,Ground Plane,,,Eating,Indifferent,Nibbling on shrubs?,40.725738,-73.972105
43,292,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-02,Black,Black,,Ground Plane,,,Eating,,,40.722614,-73.972894
44,294,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-04,Gray,Gray,,"Ground Plane, Above Ground",,,Eating,,Siblings? (with #3) Playing (with #3) in fenced yard,40.72263,-73.973109
45,295,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-05,Gray,Gray,,Ground Plane,,,Eating,Approaches,,40.722614,-73.973033
46,296,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-06,Gray,Gray,,Ground Plane,,,Eating,Approaches,,40.722173,-73.97272
47,300,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-10,Gray,Gray,,Ground Plane,,,Eating,Approaches,,40.724011,-73.97313
48,301,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-11,Gray,Gray,,Ground Plane,,,Eating,Indifferent,Was very close to a dog and hid in a tree,40.724608,-73.972841
49,302,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-12,Gray,Gray,,Ground Plane,,,Eating,Runs From,,40.724774,-73.97275
50,303,LOWER MANHATTAN,C,Seward Park,14,C-14-01,Gray,"Cinnamon, White",,Ground Plane,,,Eating,Runs From,,40.715415,-73.989567
51,304,LOWER MANHATTAN,C,Seward Park,14,C-14-02,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,"Bushier and plump, big tail",40.715484,-73.989299
52,310,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-01,Gray,,,Above Ground,20,,Eating,Runs From,Frantically zig-zagging whilst clutching a mid-afternoon snack,40.712159,-73.979415
53,311,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-02,Gray,,,,,,Eating,Indifferent,Digging in leaves carelessly,40.712199,-73.979519
54,326,LOWER MANHATTAN,C,Columbus Park,16,C-16-01,Gray,Cinnamon,Cinnamon streak down back,Ground Plane,,,Eating,Approaches,"Boy, Alert ÛÓ lots of basketball close by",40.714867,-74.000236
55,330,LOWER MANHATTAN,C,Teardrop Park,18,C-18-01,Gray,Cinnamon,,Ground Plane,,,Eating,Runs From,"Ran up tree and down tree, tail vibration ÛÓ not a flag or twitch, kuk sound",40.716335,-74.015612
56,334,LOWER MANHATTAN,C,City Hall Park,19,C-19-04,Gray,"Cinnamon, White",,Ground Plane,,,Eating,Approaches,Very chubby cinnamon squirrel got peanuts from humans and buried them in leaves,40.712893,-74.005233
57,335,LOWER MANHATTAN,C,City Hall Park,19,C-19-05,Gray,"Cinnamon, White",,Ground Plane,,,Eating,Approaches,Couldn't find a good spot to bury theirs (peanuts from humans),40.712893,-74.005233
58,336,LOWER MANHATTAN,C,City Hall Park,19,C-19-06,Gray,Cinnamon,,Ground Plane,,,Eating,Approaches,Being fed by people,40.712922,-74.005147
59,337,LOWER MANHATTAN,C,City Hall Park,19,C-19-07,Gray,Cinnamon,,Ground Plane,,,Eating,Approaches,Being fed by people,40.712922,-74.005147
60,338,LOWER MANHATTAN,C,City Hall Park,19,C-19-08,Gray,White,Very distinct white outlines on ears and ring around tail,Ground Plane,,,Eating,Approaches,Came out to get peanut from human,40.713044,-74.005404
61,341,LOWER MANHATTAN,C,City Hall Park,19,C-19-11,Gray,"Cinnamon, White",,"Ground Plane, Specific Location",,by back steps of City Hall,Eating,Indifferent,Found something to eat buried in leaves and then looked for more,40.712995,-74.005963
62,344,LOWER MANHATTAN,C,City Hall Park,19,C-19-14,Gray,White,,Ground Plane,,,Eating,"Approaches, Runs From",,40.713339,-74.006313
63,347,LOWER MANHATTAN,C,City Hall Park,19,C-19-17,Gray,White,,Ground Plane,,,Eating,Indifferent,Successfully finding buried food,40.712872,-74.006878
64,348,LOWER MANHATTAN,C,City Hall Park,19,C-19-18,Gray,White,,Ground Plane,,,Eating,Indifferent,"Rolling around in loose dirt with a ""swimming"" motion",40.712872,-74.006878
65,361,LOWER MANHATTAN,C,Battery Park,20,C-20-13,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.70442,-74.014741
66,379,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-05,Gray,,,Above Ground,30,,Eating,,,40.725527,-73.943974
67,380,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-06,Gray,Cinnamon,,Ground Plane,,,Eating,Approaches,We fed him!,40.725397,-73.944124
68,389,BROOKLYN,D,McCarren Park,22,D-22-01,Cinnamon,White,,Ground Plane,,,Eating,Indifferent,,40.72167,-73.953364
69,390,BROOKLYN,D,McCarren Park,22,D-22-02,Gray,White,,Ground Plane,,,Eating,Approaches,,40.721768,-73.953192
70,397,BROOKLYN,D,McCarren Park,22,D-22-09,Gray,Gray,,"Ground Plane, Specific Location",,In a trash and metal heap next to baseball field,Eating,Indifferent,,40.721933,-73.953147
71,400,BROOKLYN,D,McCarren Park,22,D-22-12,Gray,White,,Ground Plane,,,Eating,Indifferent,Birds walking nearby,40.722819,-73.952095
72,403,BROOKLYN,D,McCarren Park,22,D-22-15,Gray,White,,"Above Ground, Specific Location",,in tree,Eating,Indifferent,,40.723071,-73.951697
73,412,BROOKLYN,D,McCarren Park,22,D-22-24,Gray,White,,Ground Plane,,,Eating,Indifferent,Dog chased it up a tree,40.720458,-73.954244
74,415,BROOKLYN,D,McCarren Park,22,D-22-27,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,Near a lot of little birds,40.719777,-73.952774
75,424,BROOKLYN,D,McCarren Park,22,D-22-36,Cinnamon,"Gray, Cinnamon",Reddish tail,Ground Plane,,,Eating,,Pretty fat,40.72112,-73.95104
76,426,BROOKLYN,D,McCarren Park,22,D-22-38,Gray,"Cinnamon, White",,Ground Plane,,,Eating,,Sitting next to #39 and eating,40.721258,-73.950799
77,427,BROOKLYN,D,McCarren Park,22,D-22-39,Gray,"Cinnamon, White",,Ground Plane,,,Eating,,Sitting next to #38 and eating,40.721217,-73.95077
0,0,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-01,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.85941,-73.933936
1,1,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-02,Gray,White,,Ground Plane,,,Foraging,Indifferent,Looks skinny,40.859436,-73.933937
2,6,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-07,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.860225,-73.933143
3,8,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-09,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.859892,-73.933326
4,13,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-02,Gray,Cinnamon,,Above Ground,2,,Foraging,Indifferent,,40.845875,-73.940808
5,14,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-03,Gray,Cinnamon,,Ground Plane,,,Foraging,,,40.845875,-73.940808
6,17,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-06,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846088,-73.940613
7,19,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-08,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846222,-73.94094
8,29,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-18,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.846064,-73.941497
9,31,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-20,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.847296,-73.942061
10,32,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-21,Gray,Cinnamon,,Ground Plane,,,Foraging,Runs From,,40.847259,-73.941598
11,33,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-22,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.84719,-73.941308
12,45,UPPER MANHATTAN,A,Highbridge Park,3,A-03-10,Gray,Cinnamon,,"Ground Plane, Above Ground",6ÛÒ18,"Started on ground, climbed 6ÛÒ18 ft.",Foraging,Watching us from tree - very interested in us,"Lots of garbage, near #8 & #9",40.842511,-73.932916
13,47,UPPER MANHATTAN,A,Highbridge Park,3,A-03-12,Gray,White,,Ground Plane,,,Foraging,Runs From,,40.842795,-73.933002
14,51,UPPER MANHATTAN,A,Highbridge Park,3,A-03-16,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.842769,-73.934478
15,53,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-02,Black,Black,,Ground Plane,,,Foraging,Indifferent,Chasing #3,40.817719,-73.948855
16,55,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-04,Gray,White,,Ground Plane,,,Foraging,Indifferent,,40.817711,-73.949118
17,60,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-09,Gray,White,,Ground Plane,,,Foraging,Indifferent,Wooded area,40.816685,-73.949689
18,61,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-10,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,Wooded area,40.816677,-73.949549
19,62,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-11,Black,Black,,Ground Plane,,,Foraging,Indifferent,Wooded area,40.816555,-73.949609
20,63,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-12,Gray,White,,Ground Plane,,,Foraging,Indifferent,Wooded area - would look but not fully approach,40.816506,-73.949587
21,65,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-14,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.818308,-73.948952
22,66,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-15,Gray,Black,,Ground Plane,,,Foraging,Indifferent,,40.818263,-73.948909
23,93,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-27,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
24,94,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-28,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
25,129,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-01,Gray,,,Ground Plane,,,Foraging,Indifferent,Scar on forehead,40.74145,-73.987884
26,131,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-03,Gray,,,Ground Plane,,,Foraging,Indifferent,,40.742556,-73.986971
27,136,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-08,Gray,Cinnamon,,"Ground Plane, Specific Location",,base of tree,Foraging,Indifferent,Dog owners encouraging dogs to chase squirrels,40.742807,-73.988435
28,137,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-09,Gray,,,"Ground Plane, Specific Location",,base of tree,Foraging,Indifferent,Ran from base of tree to lawn about 20 feet away in search of food,40.741528,-73.988324
29,138,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-10,Gray,,,"Above Ground, Specific Location",10,in tree,Foraging,Indifferent,"First spotted in tree, then climbed down. Squirrel was small in stature.",40.741805,-73.988448
30,139,CENTRAL MANHATTAN,B,Madison Square Park,7,B-07-11,Gray,,,"Ground Plane, Above Ground",1,on bench,Foraging,Indifferent,"First seen on bench. Then jumped to ground, ran across path and onto lawn in search of food.",40.741862,-73.988797
31,141,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-02,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.735847,-73.990115
32,142,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-03,Cinnamon,,,Ground Plane,,,Foraging,Indifferent,,40.735896,-73.99041
33,143,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-04,Gray,,,Ground Plane,,,Foraging,Indifferent,,40.73579,-73.990738
34,149,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-10,Gray,,,Ground Plane,,,Foraging,"Indifferent, Staring",,40.73542,-73.990453
35,150,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-11,Cinnamon,,,Ground Plane,,,Foraging,"Indifferent, Runs From (kids)",Ran away from kids and climbed up the tree,40.735514,-73.99033
36,151,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-12,Gray,,,Ground Plane,,,Foraging,,Big,40.735945,-73.990201
37,152,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-13,Cinnamon,,,,,,Foraging,,Big,40.735947,-73.99023
38,153,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-14,Gray,,,Ground Plane,,,Foraging,,Big and chubby,40.73604,-73.98966
39,154,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-15,Gray,,,Ground Plane,,,Foraging,,,40.73618,-73.990683
40,155,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-16,Cinnamon,,,Ground Plane,,,Foraging,,,40.736298,-73.990559
41,156,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-01,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,Found nut and moved into tree,40.733753,-73.983682
42,157,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-02,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.733648,-73.983483
43,158,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-03,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.733631,-73.983419
44,162,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-07,Gray,Cinnamon,,Ground Plane,,,Foraging,Approaches,"Curious, thinks we have food",40.733737,-73.98438
45,165,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-10,Gray,Cinnamon,,Ground Plane,,,Foraging,Approaches,Expected food,40.733506,-73.984553
46,173,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-18,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.73403,-73.984199
47,175,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-20,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.734314,-73.984231
48,178,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-23,Gray,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.734335,-73.984038
49,179,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-24,Black,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.734383,-73.984118
50,180,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-25,Black,Cinnamon,,Ground Plane,,,Foraging,Indifferent,,40.734356,-73.984062
51,181,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-01,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,Sun,40.730703,-73.995821
52,182,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-02,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.730638,-73.995784
53,183,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-03,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.730528,-73.995891
54,184,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-04,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.730394,-73.996009
55,189,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-09,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,40.730223,-73.996132
56,220,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-40,Gray,,,Ground Plane,,,Foraging,Indifferent,Busy area,40.731974,-73.998482
57,233,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-02,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
58,234,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-03,Black,Black,,Ground Plane,,,Foraging,Indifferent,,,
59,235,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-04,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
60,237,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-06,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
61,238,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-07,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
62,240,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-09,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
63,243,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-12,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
64,244,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-13,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
65,245,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-14,Gray,Gray,,Ground Plane,,,Foraging,,,,
66,250,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-19,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
67,251,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-20,Gray,Gray,,Ground Plane,,,Foraging,Indifferent,,,
68,256,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-25,Gray,Gray,,Ground Plane,,,Foraging,Approaches,,,
69,257,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-26,Gray,Gray,,Ground Plane,,,Foraging,Approaches,,,
